Name,Team,Fixture,eAssists/90,Anytime%,,
Salah,LIV,(A): FUL,0.41,34%,,
Son,TOT,(H): SOU,0.39,33%,,
Luis Díaz,LIV,(A): FUL,0.37,31%,,
De Bruyne,MCI,(A): WHU,0.36,30%,,
Maddison,LEI,(H): BRE,0.35,29%,,
Alexander-Arnold,LIV,(A): FUL,0.35,29%,,
Bryan Gil,TOT,(H): SOU,0.33,28%,,
Kulusevski,TOT,(H): SOU,0.33,28%,,
Mount,CHE,(A): EVE,0.32,27%,,
Kane,TOT,(H): SOU,0.31,27%,,
Fraser,NEW,(H): NFO,0.31,27%,,
Fernandes,MUN,(H): BHA,0.30,26%,,
Barnes,LEI,(H): BRE,0.30,26%,,
Diogo Jota,LIV,(A): FUL,0.30,26%,,
Haaland,MCI,(A): WHU,0.28,25%,,
Carvalho,LIV,(A): FUL,0.28,25%,,
Elliott,LIV,(A): FUL,0.28,24%,,
Darwin,LIV,(A): FUL,0.28,24%,,
Lucas Moura,TOT,(H): SOU,0.28,24%,,
Mahrez,MCI,(A): WHU,0.27,24%,,
Ziyech,CHE,(A): EVE,0.26,23%,,
Saint-Maximin,NEW,(H): NFO,0.26,23%,,
Buendía,AVL,(A): BOU,0.25,22%,,
Foden,MCI,(A): WHU,0.25,22%,,
Saka,ARS,(A): CRY,0.25,22%,,
Rashford,MUN,(H): BHA,0.25,22%,,
Perišić,TOT,(H): SOU,0.25,22%,,
Álvarez,MCI,(A): WHU,0.24,22%,,
Firmino,LIV,(A): FUL,0.24,21%,,
James,CHE,(A): EVE,0.24,21%,,
Murphy,NEW,(H): NFO,0.24,21%,,
Eriksen,MUN,(H): BHA,0.23,21%,,
Grealish,MCI,(A): WHU,0.23,21%,,
Pépé,ARS,(A): CRY,0.23,21%,,
Sancho,MUN,(H): BHA,0.23,20%,,
Iheanacho,LEI,(H): BRE,0.22,20%,,
Neto,WOL,(A): LEE,0.22,20%,,
Pérez,LEI,(H): BRE,0.22,20%,,
Eze,CRY,(H): ARS,0.22,20%,,
Harrison,LEE,(H): WOL,0.22,19%,,
Coutinho,AVL,(A): BOU,0.21,19%,,
Robertson,LIV,(A): FUL,0.21,19%,,
Ings,AVL,(A): BOU,0.21,19%,,
Daka,LEI,(H): BRE,0.21,19%,,
Olise,CRY,(H): ARS,0.21,19%,,
Rodrigo,LEE,(H): WOL,0.21,19%,,
Sinisterra,LEE,(H): WOL,0.21,19%,,
Doherty,TOT,(H): SOU,0.21,19%,,
Wilson,NEW,(H): NFO,0.20,19%,,
Ødegaard,ARS,(A): CRY,0.20,18%,,
Bailey,AVL,(A): BOU,0.20,18%,,
Elanga,MUN,(H): BHA,0.20,18%,,
Jesus,ARS,(A): CRY,0.20,18%,,
Havertz,CHE,(A): EVE,0.20,18%,,
Traoré,AVL,(A): BOU,0.20,18%,,
Bamford,LEE,(H): WOL,0.20,18%,,
Gelhardt,LEE,(H): WOL,0.20,18%,,
Sterling,CHE,(A): EVE,0.20,18%,,
Mbeumo,BRE,(A): LEI,0.20,18%,,
Pulisic,CHE,(A): EVE,0.19,18%,,
Martial,MUN,(H): BHA,0.19,18%,,
Billing,BOU,(H): AVL,0.19,18%,,
Aaronson,LEE,(H): WOL,0.19,17%,,
Wood,NEW,(H): NFO,0.19,17%,,
Werner,CHE,(A): EVE,0.19,17%,,
Anthony,BOU,(H): AVL,0.19,17%,,
Ronaldo,MUN,(H): BHA,0.18,17%,,
R.Sessegnon,TOT,(H): SOU,0.18,17%,,
Bruno Guimarães,NEW,(H): NFO,0.18,16%,,
Trippier,NEW,(H): NFO,0.17,16%,,
Gibbs-White,WOL,(A): LEE,0.17,16%,,
Vardy,LEI,(H): BRE,0.17,16%,,
Bernardo,MCI,(A): WHU,0.17,16%,,
Lolley,NFO,(A): NEW,0.17,16%,,
Edouard,CRY,(H): ARS,0.17,16%,,
Digne,AVL,(A): BOU,0.17,16%,,
Wilson,FUL,(H): LIV,0.17,16%,,
Christie,BOU,(H): AVL,0.17,16%,,
Bowen,WHU,(H): MCI,0.17,16%,,
Nketiah,ARS,(A): CRY,0.17,15%,,
Smith Rowe,ARS,(A): CRY,0.17,15%,,
Gray,EVE,(H): CHE,0.17,15%,,
Jones,LIV,(A): FUL,0.17,15%,,
Martinelli,ARS,(A): CRY,0.16,15%,,
Bentancur,TOT,(H): SOU,0.16,15%,,
Hwang,WOL,(A): LEE,0.16,15%,,
Alonso,CHE,(A): EVE,0.16,15%,,
Gordon,EVE,(H): CHE,0.16,15%,,
Henderson,LIV,(A): FUL,0.16,15%,,
Dewsbury-Hall,LEI,(H): BRE,0.16,15%,,
Keita,LIV,(A): FUL,0.16,15%,,
Podence,WOL,(A): LEE,0.16,15%,,
Marcondes,BOU,(H): AVL,0.16,15%,,
Solanke,BOU,(H): AVL,0.16,15%,,
Archer,AVL,(A): BOU,0.16,14%,,
Groß,BHA,(A): MUN,0.15,14%,,
Watkins,AVL,(A): BOU,0.15,14%,,
Almirón,NEW,(H): NFO,0.15,14%,,
Bissouma,TOT,(H): SOU,0.15,14%,,
McNeil,EVE,(H): CHE,0.15,14%,,
Adama,WOL,(A): LEE,0.15,14%,,
Toney,BRE,(A): LEI,0.15,14%,,
Thiago,LIV,(A): FUL,0.15,14%,,
Dembélé,BOU,(H): AVL,0.15,14%,,
Gallagher,CHE,(A): EVE,0.15,14%,,
Ayew,CRY,(H): ARS,0.14,13%,,
Jensen,BRE,(A): LEI,0.14,13%,,
Maupay,BHA,(A): MUN,0.14,13%,,
Lewis-Potter,BRE,(A): LEI,0.14,13%,,
Lingard,NFO,(A): NEW,0.14,13%,,
Benteke,CRY,(H): ARS,0.14,13%,,
Ashley Young,AVL,(A): BOU,0.14,13%,,
Trossard,BHA,(A): MUN,0.13,13%,,
Undav,BHA,(A): MUN,0.13,13%,,
Zaha,CRY,(H): ARS,0.13,12%,,
Mateta,CRY,(H): ARS,0.13,12%,,
Shaw,MUN,(H): BHA,0.13,12%,,
S.Longstaff,NEW,(H): NFO,0.13,12%,,
Johnson,NFO,(A): NEW,0.13,12%,,
Welbeck,BHA,(A): MUN,0.13,12%,,
Tielemans,LEI,(H): BRE,0.13,12%,,
Benrahma,WHU,(H): MCI,0.13,12%,,
Lowe,BOU,(H): AVL,0.13,12%,,
Wissa,BRE,(A): LEI,0.13,12%,,
Kanté,CHE,(A): EVE,0.13,12%,,
Cancelo,MCI,(A): WHU,0.13,12%,,
Antonio,WHU,(H): MCI,0.13,12%,,
Phillips,MCI,(A): WHU,0.13,12%,,
Willock,NEW,(H): NFO,0.13,12%,,
Moutinho,WOL,(A): LEE,0.13,12%,,
Gündogan,MCI,(A): WHU,0.13,12%,,
Chilwell,CHE,(A): EVE,0.12,12%,,
Kovacic,CHE,(A): EVE,0.12,12%,,
Fred,MUN,(H): BHA,0.12,12%,,
Joelinton,NEW,(H): NFO,0.12,11%,,
Surridge,NFO,(A): NEW,0.12,11%,,
Dele,EVE,(H): CHE,0.12,11%,,
Cavaleiro,FUL,(H): LIV,0.12,11%,,
Mwepu,BHA,(A): MUN,0.11,11%,,
Andreas,FUL,(H): LIV,0.11,11%,,
Højbjerg,TOT,(H): SOU,0.11,11%,,
Vlasic,WHU,(H): MCI,0.11,11%,,
Ward-Prowse,SOU,(A): TOT,0.11,11%,,
Loftus-Cheek,CHE,(A): EVE,0.11,11%,,
Mac Allister,BHA,(A): MUN,0.11,11%,,
Calvert-Lewin,EVE,(H): CHE,0.11,11%,,
March,BHA,(A): MUN,0.11,10%,,
Targett,NEW,(H): NFO,0.11,10%,,
A.Armstrong,SOU,(A): TOT,0.11,10%,,
Adams,SOU,(A): TOT,0.11,10%,,
De Cordova-Reid,FUL,(H): LIV,0.11,10%,,
Elyounoussi,SOU,(A): TOT,0.11,10%,,
Scamacca,WHU,(H): MCI,0.11,10%,,
Zinchenko,ARS,(A): CRY,0.11,10%,,
Awoniyi,NFO,(A): NEW,0.11,10%,,
Cody Drameh,LEE,(H): WOL,0.11,10%,,
Dasilva,BRE,(A): LEI,0.10,10%,,
Moore,BOU,(H): AVL,0.10,10%,,
Taylor,NFO,(A): NEW,0.10,10%,,
Fornals,WHU,(H): MCI,0.10,10%,,
Elneny,ARS,(A): CRY,0.10,10%,,
Walker,MCI,(A): WHU,0.10,10%,,
Kebano,FUL,(H): LIV,0.10,10%,,
Klich,LEE,(H): WOL,0.10,10%,,
Lanzini,WHU,(H): MCI,0.10,10%,,
Dendoncker,WOL,(A): LEE,0.10,10%,,
Redmond,SOU,(A): TOT,0.10,10%,,
Malacia,MUN,(H): BHA,0.10,10%,,
Jorginho,CHE,(A): EVE,0.10,9%,,
Kristensen,LEE,(H): WOL,0.10,9%,,
Xhaka,ARS,(A): CRY,0.10,9%,,
McGinn,AVL,(A): BOU,0.10,9%,,
Rodri,MCI,(A): WHU,0.10,9%,,
Cafú,NFO,(A): NEW,0.10,9%,,
