Name,Team,Fixture,eGoals/90,Anytime%,,
Kane,TOT,(H): SOU,0.76,53%,,
Salah,LIV,(A): FUL,0.70,50%,,
Haaland,MCI,(A): WHU,0.64,47%,,
Ronaldo,MUN,(H): BHA,0.63,47%,,
Darwin,LIV,(A): FUL,0.60,45%,,
Wilson,NEW,(H): NFO,0.59,45%,,
Vardy,LEI,(H): BRE,0.59,45%,,
Son,TOT,(H): SOU,0.54,42%,,
Diogo Jota,LIV,(A): FUL,0.52,40%,,
Wood,NEW,(H): NFO,0.52,40%,,
Bamford,LEE,(H): WOL,0.46,37%,,
Firmino,LIV,(A): FUL,0.46,37%,,
Ings,AVL,(A): BOU,0.45,36%,,
Solanke,BOU,(H): AVL,0.43,35%,,
Havertz,CHE,(A): EVE,0.43,35%,,
Luis Díaz,LIV,(A): FUL,0.40,33%,,
Archer,AVL,(A): BOU,0.39,32%,,
Watkins,AVL,(A): BOU,0.38,32%,,
Iheanacho,LEI,(H): BRE,0.37,31%,,
Werner,CHE,(A): EVE,0.37,31%,,
Álvarez,MCI,(A): WHU,0.36,30%,,
Martial,MUN,(H): BHA,0.35,30%,,
Carvalho,LIV,(A): FUL,0.35,30%,,
Daka,LEI,(H): BRE,0.35,30%,,
Jesus,ARS,(A): CRY,0.35,30%,,
Fernandes,MUN,(H): BHA,0.35,29%,,
Calvert-Lewin,EVE,(H): CHE,0.35,29%,,
Mahrez,MCI,(A): WHU,0.34,29%,,
Toney,BRE,(A): LEI,0.34,29%,,
De Bruyne,MCI,(A): WHU,0.34,28%,,
Benteke,CRY,(H): ARS,0.33,28%,,
Mateta,CRY,(H): ARS,0.33,28%,,
Maddison,LEI,(H): BRE,0.33,28%,,
Saka,ARS,(A): CRY,0.32,28%,,
Gelhardt,LEE,(H): WOL,0.32,28%,,
Elliott,LIV,(A): FUL,0.32,28%,,
Mount,CHE,(A): EVE,0.32,27%,,
Nketiah,ARS,(A): CRY,0.32,27%,,
Mitrović,FUL,(H): LIV,0.31,27%,,
Sterling,CHE,(A): EVE,0.31,26%,,
Barnes,LEI,(H): BRE,0.30,26%,,
Smith Rowe,ARS,(A): CRY,0.30,26%,,
Zaha,CRY,(H): ARS,0.29,25%,,
Elanga,MUN,(H): BHA,0.28,24%,,
Bryan Gil,TOT,(H): SOU,0.28,24%,,
Martinelli,ARS,(A): CRY,0.27,23%,,
Ziyech,CHE,(A): EVE,0.27,23%,,
Pépé,ARS,(A): CRY,0.27,23%,,
Maupay,BHA,(A): MUN,0.26,23%,,
Fraser,NEW,(H): NFO,0.26,23%,,
Coutinho,AVL,(A): BOU,0.26,23%,,
Gibbs-White,WOL,(A): LEE,0.26,23%,,
Pulisic,CHE,(A): EVE,0.25,22%,,
Lucas Moura,TOT,(H): SOU,0.25,22%,,
Traoré,AVL,(A): BOU,0.25,22%,,
Undav,BHA,(A): MUN,0.25,22%,,
Foden,MCI,(A): WHU,0.25,22%,,
Saint-Maximin,NEW,(H): NFO,0.24,21%,,
Welbeck,BHA,(A): MUN,0.24,21%,,
Harrison,LEE,(H): WOL,0.24,21%,,
Awoniyi,NFO,(A): NEW,0.24,21%,,
Sancho,MUN,(H): BHA,0.23,21%,,
Kulusevski,TOT,(H): SOU,0.23,21%,,
Edouard,CRY,(H): ARS,0.23,20%,,
Taylor,NFO,(A): NEW,0.23,20%,,
Bruno Guimarães,NEW,(H): NFO,0.22,20%,,
Billing,BOU,(H): AVL,0.22,20%,,
Neves,WOL,(A): LEE,0.22,20%,,
Buendía,AVL,(A): BOU,0.22,20%,,
Moore,BOU,(H): AVL,0.22,20%,,
Antonio,WHU,(H): MCI,0.22,20%,,
Murphy,NEW,(H): NFO,0.22,20%,,
Hwang,WOL,(A): LEE,0.22,20%,,
Grealish,MCI,(A): WHU,0.22,19%,,
Johnson,NFO,(A): NEW,0.22,19%,,
Scamacca,WHU,(H): MCI,0.22,19%,,
Rodrigo,LEE,(H): WOL,0.21,19%,,
Lowe,BOU,(H): AVL,0.21,19%,,
Gündogan,MCI,(A): WHU,0.21,19%,,
Rashford,MUN,(H): BHA,0.21,19%,,
Bailey,AVL,(A): BOU,0.21,19%,,
Pérez,LEI,(H): BRE,0.20,18%,,
Surridge,NFO,(A): NEW,0.20,18%,,
Wissa,BRE,(A): LEI,0.20,18%,,
Bowen,WHU,(H): MCI,0.19,17%,,
Sinisterra,LEE,(H): WOL,0.19,17%,,
Jorginho,CHE,(A): EVE,0.19,17%,,
Aaronson,LEE,(H): WOL,0.19,17%,,
Neto,WOL,(A): LEE,0.19,17%,,
A.Armstrong,SOU,(A): TOT,0.18,17%,,
Adams,SOU,(A): TOT,0.18,17%,,
Eze,CRY,(H): ARS,0.18,17%,,
Gray,EVE,(H): CHE,0.18,17%,,
Dele,EVE,(H): CHE,0.18,16%,,
Dembélé,BOU,(H): AVL,0.17,16%,,
Ødegaard,ARS,(A): CRY,0.17,16%,,
Gordon,EVE,(H): CHE,0.17,16%,,
Ayew,CRY,(H): ARS,0.17,16%,,
Benrahma,WHU,(H): MCI,0.17,15%,,
Keita,LIV,(A): FUL,0.17,15%,,
Podence,WOL,(A): LEE,0.17,15%,,
Lewis-Potter,BRE,(A): LEI,0.17,15%,,
Almirón,NEW,(H): NFO,0.16,15%,,
Mbeumo,BRE,(A): LEI,0.16,15%,,
Olise,CRY,(H): ARS,0.16,15%,,
Gallagher,CHE,(A): EVE,0.16,15%,,
Eriksen,MUN,(H): BHA,0.15,14%,,
Alonso,CHE,(A): EVE,0.15,14%,,
Trossard,BHA,(A): MUN,0.15,14%,,
Marcondes,BOU,(H): AVL,0.14,13%,,
Anthony,BOU,(H): AVL,0.14,13%,,
Willock,NEW,(H): NFO,0.14,13%,,
Jones,LIV,(A): FUL,0.14,13%,,
Lanzini,WHU,(H): MCI,0.14,13%,,
Fabinho,LIV,(A): FUL,0.14,13%,,
Doherty,TOT,(H): SOU,0.13,12%,,
Mac Allister,BHA,(A): MUN,0.13,12%,,
Ward-Prowse,SOU,(A): TOT,0.13,12%,,
Bernardo,MCI,(A): WHU,0.13,12%,,
Lingard,NFO,(A): NEW,0.13,12%,,
Ramsey,AVL,(A): BOU,0.12,12%,,
Christie,BOU,(H): AVL,0.12,11%,,
Fornals,WHU,(H): MCI,0.12,11%,,
Matip,LIV,(A): FUL,0.12,11%,,
Bissouma,TOT,(H): SOU,0.12,11%,,
Kebano,FUL,(H): LIV,0.12,11%,,
Rodri,MCI,(A): WHU,0.12,11%,,
Tielemans,LEI,(H): BRE,0.12,11%,,
Elyounoussi,SOU,(A): TOT,0.12,11%,,
Vlasic,WHU,(H): MCI,0.12,11%,,
Lolley,NFO,(A): NEW,0.11,11%,,
Perišić,TOT,(H): SOU,0.11,11%,,
Alexander-Arnold,LIV,(A): FUL,0.11,11%,,
Redmond,SOU,(A): TOT,0.11,11%,,
Andreas,FUL,(H): LIV,0.11,10%,,
Adama,WOL,(A): LEE,0.11,10%,,
James,CHE,(A): EVE,0.11,10%,,
Wilson,FUL,(H): LIV,0.11,10%,,
Cavaleiro,FUL,(H): LIV,0.11,10%,,
Joelinton,NEW,(H): NFO,0.11,10%,,
Groß,BHA,(A): MUN,0.10,10%,,
Thiago,LIV,(A): FUL,0.10,10%,,
McNeil,EVE,(H): CHE,0.10,10%,,
S.Armstrong,SOU,(A): TOT,0.10,10%,,
Dendoncker,WOL,(A): LEE,0.10,10%,,
Fred,MUN,(H): BHA,0.10,10%,,
Chilwell,CHE,(A): EVE,0.10,9%,,
De Cordova-Reid,FUL,(H): LIV,0.10,9%,,
Milivojevic,CRY,(H): ARS,0.09,9%,,
Aké,MCI,(A): WHU,0.09,9%,,
Dewsbury-Hall,LEI,(H): BRE,0.09,9%,,
Klich,LEE,(H): WOL,0.09,9%,,
Henderson,LIV,(A): FUL,0.09,9%,,
Janelt,BRE,(A): LEI,0.09,8%,,
Sánchez,TOT,(H): SOU,0.09,8%,,
Schlupp,CRY,(H): ARS,0.08,8%,,
S.Longstaff,NEW,(H): NFO,0.08,8%,,
Jonny,WOL,(A): LEE,0.08,8%,,
Douglas Luiz,AVL,(A): BOU,0.08,8%,,
Llorente,LEE,(H): WOL,0.08,8%,,
Aribo,SOU,(A): TOT,0.08,8%,,
Gabriel,ARS,(A): CRY,0.08,8%,,
Van Dijk,LIV,(A): FUL,0.08,8%,,
Yates,NFO,(A): NEW,0.08,8%,,
Højbjerg,TOT,(H): SOU,0.08,8%,,
Mwepu,BHA,(A): MUN,0.08,7%,,
Soucek,WHU,(H): MCI,0.08,7%,,
Partey,ARS,(A): CRY,0.08,7%,,
Van de Beek,MUN,(H): BHA,0.07,7%,,
Cairney,FUL,(H): LIV,0.07,7%,,
Collins,WOL,(A): LEE,0.07,7%,,
Schär,NEW,(H): NFO,0.07,7%,,
Moutinho,WOL,(A): LEE,0.07,7%,,
Dasilva,BRE,(A): LEI,0.07,7%,,
Kovacic,CHE,(A): EVE,0.07,7%,,
Ashley Young,AVL,(A): BOU,0.07,7%,,
Cundle,WOL,(A): LEE,0.07,7%,,
Xhaka,ARS,(A): CRY,0.07,7%,,
Varane,MUN,(H): BHA,0.07,7%,,
Phillips,MCI,(A): WHU,0.07,6%,,
Sambi,ARS,(A): CRY,0.07,6%,,
Chalobah,CHE,(A): EVE,0.07,6%,,
Davies,EVE,(H): CHE,0.07,6%,,
McTominay,MUN,(H): BHA,0.07,6%,,
R.Sessegnon,TOT,(H): SOU,0.07,6%,,
Holgate,EVE,(H): CHE,0.07,6%,,
Davies,TOT,(H): SOU,0.07,6%,,
Jensen,BRE,(A): LEI,0.06,6%,,
Iwobi,EVE,(H): CHE,0.06,6%,,
Robertson,LIV,(A): FUL,0.06,6%,,
Mee,BRE,(A): LEI,0.06,6%,,
Nørgaard,BRE,(A): LEI,0.06,6%,,
Lallana,BHA,(A): MUN,0.06,6%,,
Keane,EVE,(H): CHE,0.06,6%,,
N.Williams,NFO,(A): NEW,0.06,6%,,
Diego Carlos,AVL,(A): BOU,0.06,6%,,
Azpilicueta,CHE,(A): EVE,0.06,6%,,
Kanté,CHE,(A): EVE,0.06,6%,,
Mykolenko,EVE,(H): CHE,0.06,6%,,
Loftus-Cheek,CHE,(A): EVE,0.06,6%,,
Burn,NEW,(H): NFO,0.06,6%,,
Bentancur,TOT,(H): SOU,0.06,6%,,
McGinn,AVL,(A): BOU,0.06,6%,,
Onyeka,BRE,(A): LEI,0.06,6%,,
Konaté,LIV,(A): FUL,0.06,6%,,
Trippier,NEW,(H): NFO,0.06,6%,,
Webster,BHA,(A): MUN,0.06,6%,,
Roca,LEE,(H): WOL,0.06,6%,,
Ndidi,LEI,(H): BRE,0.06,6%,,
Dias,MCI,(A): WHU,0.06,6%,,
A.Doucouré,EVE,(H): CHE,0.06,5%,,
Botman,NEW,(H): NFO,0.06,5%,,
Mendy,LEI,(H): BRE,0.05,5%,,
Stones,MCI,(A): WHU,0.05,5%,,
C.Doucouré,CRY,(H): ARS,0.05,5%,,
Koulibaly,CHE,(A): EVE,0.05,5%,,
O'Brien,NFO,(A): NEW,0.05,5%,,
Martínez,MUN,(H): BHA,0.05,5%,,
Chambers,AVL,(A): BOU,0.05,5%,,
Romero,TOT,(H): SOU,0.05,5%,,
Aït-Nouri,WOL,(A): LEE,0.05,5%,,
Biancone,NFO,(A): NEW,0.05,5%,,
Coady,WOL,(A): LEE,0.05,5%,,
Lenglet,TOT,(H): SOU,0.05,5%,,
Lerma,BOU,(H): AVL,0.05,5%,,
Dunk,BHA,(A): MUN,0.05,5%,,
Thiago Silva,CHE,(A): EVE,0.05,5%,,
Elneny,ARS,(A): CRY,0.05,5%,,
Maguire,MUN,(H): BHA,0.05,5%,,
Saliba,ARS,(A): CRY,0.05,5%,,
Colback,NFO,(A): NEW,0.05,5%,,
Bednarek,SOU,(A): TOT,0.05,5%,,
Dawson,WHU,(H): MCI,0.05,5%,,
Allan,EVE,(H): CHE,0.05,4%,,
Söyüncü,LEI,(H): BRE,0.05,4%,,
Caicedo,BHA,(A): MUN,0.04,4%,,
Romeu,SOU,(A): TOT,0.04,4%,,
Henry,BRE,(A): LEI,0.04,4%,,
Rice,WHU,(H): MCI,0.04,4%,,
Jansson,BRE,(A): LEI,0.04,4%,,
Digne,AVL,(A): BOU,0.04,4%,,
Kamara,AVL,(A): BOU,0.04,4%,,
Evans,LEI,(H): BRE,0.04,4%,,
Cafú,NFO,(A): NEW,0.04,4%,,
Mings,AVL,(A): BOU,0.04,4%,,
Pearson,BOU,(H): AVL,0.04,4%,,
Dier,TOT,(H): SOU,0.04,4%,,
Adams,LEE,(H): WOL,0.04,4%,,
Rúben Vinagre,EVE,(H): CHE,0.04,4%,,
Sarr,CHE,(A): EVE,0.04,4%,,
Hughes,CRY,(H): ARS,0.04,4%,,
Duffy,BHA,(A): MUN,0.04,4%,,
Patterson,EVE,(H): CHE,0.04,4%,,
Cancelo,MCI,(A): WHU,0.04,4%,,
Cash,AVL,(A): BOU,0.04,4%,,
Malacia,MUN,(H): BHA,0.04,4%,,
Cook,BOU,(H): AVL,0.04,4%,,
Hjelde,LEE,(H): WOL,0.04,4%,,
Guéhi,CRY,(H): ARS,0.04,3%,,
Koch,LEE,(H): WOL,0.04,3%,,
Fofana,LEI,(H): BRE,0.04,3%,,
March,BHA,(A): MUN,0.03,3%,,
Kilman,WOL,(A): LEE,0.03,3%,,
Toffolo,NFO,(A): NEW,0.03,3%,,
Lamptey,BHA,(A): MUN,0.03,3%,,
Ogbonna,WHU,(H): MCI,0.03,3%,,
Bech,BRE,(A): LEI,0.03,3%,,
Cooper,LEE,(H): WOL,0.03,3%,,
Thomas,LEI,(H): BRE,0.03,3%,,
Mepham,BOU,(H): AVL,0.03,3%,,
Mina,EVE,(H): CHE,0.03,3%,,
Palhinha,FUL,(H): LIV,0.03,3%,,
Francois,FUL,(H): LIV,0.03,3%,,
Zemura,BOU,(H): AVL,0.03,3%,,
Castagne,LEI,(H): BRE,0.03,3%,,
Zouma,WHU,(H): MCI,0.03,3%,,
Boly,WOL,(A): LEE,0.03,3%,,
Tarkowski,EVE,(H): CHE,0.03,3%,,
Amartey,LEI,(H): BRE,0.03,3%,,
Diallo,SOU,(A): TOT,0.03,3%,,
Niakhaté,NFO,(A): NEW,0.03,3%,,
Targett,NEW,(H): NFO,0.03,3%,,
Godfrey,EVE,(H): CHE,0.03,3%,,
Shaw,MUN,(H): BHA,0.03,3%,,
Lindelöf,MUN,(H): BHA,0.03,3%,,
Tomiyasu,ARS,(A): CRY,0.03,3%,,
Roerslev,BRE,(A): LEI,0.03,3%,,
Justin,LEI,(H): BRE,0.03,3%,,
Dalot,MUN,(H): BHA,0.03,3%,,
Ferguson,CRY,(H): ARS,0.03,2%,,
Tete,FUL,(H): LIV,0.03,2%,,
Struijk,LEE,(H): WOL,0.03,2%,,
Kristensen,LEE,(H): WOL,0.03,2%,,
Wan-Bissaka,MUN,(H): BHA,0.03,2%,,
Bella-Kotchap,SOU,(A): TOT,0.03,2%,,
Hickey,BRE,(A): LEI,0.03,2%,,
Walker-Peters,SOU,(A): TOT,0.02,2%,,
Andersen,CRY,(H): ARS,0.02,2%,,
Cresswell,WHU,(H): MCI,0.02,2%,,
Kelly,BOU,(H): AVL,0.02,2%,,
Zinchenko,ARS,(A): CRY,0.02,2%,,
Johnson,WHU,(H): MCI,0.02,2%,,
Cucurella,BHA,(A): MUN,0.02,2%,,
McKenna,NFO,(A): NEW,0.02,2%,,
Lyanco,SOU,(A): TOT,0.02,2%,,
Valery,SOU,(A): TOT,0.02,2%,,
Perraud,SOU,(A): TOT,0.02,2%,,
Cody Drameh,LEE,(H): WOL,0.02,2%,,
Veltman,BHA,(A): MUN,0.02,2%,,
White,ARS,(A): CRY,0.02,2%,,
Stacey,BOU,(H): AVL,0.02,2%,,
Walker,MCI,(A): WHU,0.02,2%,,
Salisu,SOU,(A): TOT,0.02,2%,,
Tosin,FUL,(H): LIV,0.02,2%,,
Mitchell,CRY,(H): ARS,0.01,1%,,
Cook,NFO,(A): NEW,0.01,1%,,
Mbabu,FUL,(H): LIV,0.01,1%,,
Ward,CRY,(H): ARS,0.01,1%,,
Clyne,CRY,(H): ARS,0.01,1%,,
Reed,FUL,(H): LIV,0.01,1%,,
Smith,BOU,(H): AVL,0.01,1%,,
Worrall,NFO,(A): NEW,0.01,1%,,
Coufal,WHU,(H): MCI,0.01,1%,,
Ream,FUL,(H): LIV,0.01,1%,,
Robinson,FUL,(H): LIV,0.01,1%,,
Alisson,LIV,(A): FUL,0.00,0%,,
Ramsdale,ARS,(A): CRY,0.00,0%,,
Martínez,AVL,(A): BOU,0.00,0%,,
Travers,BOU,(H): AVL,0.00,0%,,
Raya,BRE,(A): LEI,0.00,0%,,
Sánchez,BHA,(A): MUN,0.00,0%,,
Mendy,CHE,(A): EVE,0.00,0%,,
Guaita,CRY,(H): ARS,0.00,0%,,
Pickford,EVE,(H): CHE,0.00,0%,,
Rodák,FUL,(H): LIV,0.00,0%,,
Meslier,LEE,(H): WOL,0.00,0%,,
Schmeichel,LEI,(H): BRE,0.00,0%,,
Ward,LEI,(H): BRE,0.00,0%,,
Ederson,MCI,(A): WHU,0.00,0%,,
De Gea,MUN,(H): BHA,0.00,0%,,
Pope,NEW,(H): NFO,0.00,0%,,
Henderson,NFO,(A): NEW,0.00,0%,,
McCarthy,SOU,(A): TOT,0.00,0%,,
Lloris,TOT,(H): SOU,0.00,0%,,
Fabianski,WHU,(H): MCI,0.00,0%,,
Sá,WOL,(A): LEE,0.00,0%,,
Daniel Iversen,LEI,(H): BRE,0.00,0%,,
