name,team,position,cost
Cédric,ARS,DEF,4.5
Xhaka,ARS,MID,5.0
Elneny,ARS,MID,4.5
Holding,ARS,DEF,4.5
Partey,ARS,MID,5.0
Ødegaard,ARS,MID,6.5
Tierney,ARS,DEF,5.0
Pépé,ARS,MID,5.5
White,ARS,DEF,4.5
Nketiah,ARS,FWD,7.0
Smith Rowe,ARS,MID,6.0
Saka,ARS,MID,8.0
Tomiyasu,ARS,DEF,4.5
Ramsdale,ARS,GKP,5.0
Gabriel,ARS,DEF,5.0
Tavares,ARS,DEF,4.5
Sambi,ARS,MID,4.5
Martinelli,ARS,MID,6.0
Pablo Marí,ARS,DEF,4.5
Maitland-Niles,ARS,MID,5.0
Torreira,ARS,MID,4.5
Nelson,ARS,MID,5.0
Turner,ARS,GKP,4.0
Fábio Vieira,ARS,MID,6.0
Saliba,ARS,DEF,4.5
Marquinhos,ARS,MID,5.0
Jesus,ARS,FWD,8.0
Zinchenko,ARS,DEF,5.0
Coutinho,AVL,MID,7.0
Ings,AVL,FWD,7.0
Martínez,AVL,GKP,5.0
Chambers,AVL,DEF,4.5
Digne,AVL,DEF,5.0
Traoré,AVL,MID,5.0
Olsen,AVL,GKP,4.0
Sanson,AVL,MID,4.5
McGinn,AVL,MID,5.5
Hause,AVL,DEF,4.5
Mings,AVL,DEF,4.5
Watkins,AVL,FWD,7.5
Nakamba,AVL,MID,4.5
Buendía,AVL,MID,6.0
Cash,AVL,DEF,5.0
Konsa,AVL,DEF,4.5
Bailey,AVL,MID,5.0
Douglas Luiz,AVL,MID,5.0
Ramsey,AVL,MID,5.5
Chukwuemeka,AVL,MID,4.5
Iroegbunam,AVL,MID,4.5
Diego Carlos,AVL,DEF,5.0
El Ghazi,AVL,MID,5.0
Davis,AVL,FWD,5.5
Kamara,AVL,MID,5.0
Archer,AVL,FWD,4.5
Philogene-Bidace,AVL,MID,4.5
Guilbert,AVL,DEF,4.0
Augustinsson,AVL,DEF,4.5
Kesler Hayden,AVL,DEF,4.0
Young,AVL,DEF,4.5
Smith,BOU,DEF,4.5
Stanislas,BOU,MID,5.0
Fredericks,BOU,DEF,4.5
Brooks,BOU,MID,5.5
Lowe,BOU,MID,5.5
Moore,BOU,FWD,5.5
Marcondes,BOU,MID,5.0
Lerma,BOU,MID,5.0
Stacey,BOU,DEF,4.5
Solanke,BOU,FWD,6.0
Cook,BOU,MID,5.0
Pearson,BOU,MID,4.5
Christie,BOU,MID,5.5
Billing,BOU,MID,5.5
Mepham,BOU,DEF,4.5
Travers,BOU,GKP,4.5
Kelly,BOU,DEF,4.5
Dembélé,BOU,MID,5.0
Anthony,BOU,MID,5.5
Zemura,BOU,DEF,4.5
Dennis,BOU,GKP,4.0
Rothwell,BOU,MID,5.0
Tavernier,BOU,MID,5.0
Hill,BOU,DEF,4.5
Jansson,BRE,DEF,4.5
Nørgaard,BRE,MID,5.5
Toney,BRE,FWD,7.0
Raya,BRE,GKP,4.5
Canós,BRE,DEF,5.0
Dasilva,BRE,MID,4.5
Ajer,BRE,DEF,4.5
Henry,BRE,DEF,4.5
Janelt,BRE,MID,5.5
Ghoddos,BRE,MID,5.0
Jensen,BRE,MID,5.0
Wissa,BRE,MID,5.5
Roerslev,BRE,DEF,4.5
Bech,BRE,DEF,4.5
Pinnock,BRE,DEF,4.5
Onyeka,BRE,MID,5.0
Baptiste,BRE,MID,4.5
Mbeumo,BRE,FWD,6.0
Goode,BRE,DEF,4.0
Forss,BRE,FWD,4.5
Thompson,BRE,DEF,4.0
Bidstrup,BRE,MID,4.5
Balcombe,BRE,GKP,4.0
Hickey,BRE,DEF,5.0
Lewis-Potter,BRE,MID,5.5
Strakosha,BRE,GKP,4.5
Mee,BRE,DEF,4.5
Stevens,BRE,DEF,4.0
Dervişoğlu,BRE,FWD,4.5
Lallana,BHA,MID,5.0
Steele,BHA,GKP,4.0
Welbeck,BHA,FWD,6.5
Groß,BHA,MID,5.5
Duffy,BHA,DEF,4.5
Dunk,BHA,DEF,4.5
March,BHA,MID,5.0
Webster,BHA,DEF,4.5
Veltman,BHA,DEF,4.5
Maupay,BHA,FWD,6.5
Trossard,BHA,MID,6.5
Cucurella,BHA,DEF,5.0
Sánchez,BHA,GKP,4.5
Lamptey,BHA,DEF,4.5
Alzate,BHA,MID,4.5
Mac Allister,BHA,MID,5.5
Moder,BHA,MID,4.5
Mwepu,BHA,MID,5.5
Sarmiento,BHA,MID,4.5
Caicedo,BHA,MID,5.0
Richards,BHA,MID,4.5
Roberts,BHA,DEF,4.0
Undav,BHA,FWD,5.5
Mitoma,BHA,MID,5.0
Enciso,BHA,FWD,5.0
Kozłowski,BHA,MID,4.5
Scherpen,BHA,GKP,4.0
Clarke,BHA,DEF,4.0
Van Hecke,BHA,DEF,4.0
Azpilicueta,CHE,DEF,5.0
Thiago Silva,CHE,DEF,5.5
Alonso,CHE,DEF,5.5
Jorginho,CHE,MID,6.0
Barkley,CHE,MID,5.0
Kovacic,CHE,MID,5.0
Arrizabalaga,CHE,GKP,4.5
Kanté,CHE,MID,5.0
Ziyech,CHE,MID,6.0
Loftus-Cheek,CHE,MID,5.0
Werner,CHE,FWD,8.0
Kenedy,CHE,DEF,4.0
Chilwell,CHE,DEF,6.0
Pulisic,CHE,MID,6.0
Chalobah,CHE,DEF,5.0
Mount,CHE,MID,8.0
Sarr,CHE,DEF,5.0
Hudson-Odoi,CHE,MID,5.5
Havertz,CHE,FWD,8.0
James,CHE,DEF,6.0
Mendy,CHE,GKP,5.0
Gallagher,CHE,MID,6.0
Gilmour,CHE,MID,4.5
Broja,CHE,FWD,5.5
Ampadu,CHE,DEF,4.5
Sterling,CHE,MID,10.0
Koulibaly,CHE,DEF,5.5
Emerson,CHE,DEF,4.0
Guaita,CRY,GKP,4.5
Tomkins,CRY,DEF,4.0
McArthur,CRY,MID,5.0
Benteke,CRY,FWD,5.5
Ward,CRY,DEF,4.5
Clyne,CRY,DEF,4.5
Milivojevic,CRY,MID,4.5
Ayew,CRY,MID,5.5
Zaha,CRY,MID,7.0
Schlupp,CRY,MID,5.0
Butland,CRY,GKP,4.5
Hughes,CRY,MID,5.0
Riedewald,CRY,MID,4.5
Andersen,CRY,DEF,4.5
Edouard,CRY,FWD,5.5
Guéhi,CRY,DEF,4.5
Mateta,CRY,FWD,5.5
Eze,CRY,MID,5.5
Mitchell,CRY,DEF,4.5
Olise,CRY,MID,5.5
Rak-Sakyi,CRY,MID,4.5
Ebiowei,CRY,MID,4.5
Ferguson,CRY,DEF,4.0
Johnstone,CRY,GKP,4.5
Matthews,CRY,GKP,4.0
Plange,CRY,FWD,4.5
C.Doucouré,CRY,MID,5.0
Richards,CRY,DEF,4.5
Begović,EVE,GKP,4.0
Rondón,EVE,FWD,5.0
Coleman,EVE,DEF,4.5
Townsend,EVE,MID,5.5
Keane,EVE,DEF,4.5
Dele,EVE,MID,5.5
Pickford,EVE,GKP,4.5
Allan,EVE,MID,5.0
André Gomes,EVE,MID,4.5
A.Doucouré,EVE,MID,5.5
Iwobi,EVE,MID,5.5
Gbamin,EVE,MID,4.5
Mina,EVE,DEF,4.5
Gray,EVE,MID,5.5
Davies,EVE,MID,5.0
Calvert-Lewin,EVE,FWD,8.0
Holgate,EVE,DEF,4.5
Godfrey,EVE,DEF,4.5
Mykolenko,EVE,DEF,4.5
Gordon,EVE,MID,5.5
Branthwaite,EVE,DEF,4.0
Patterson,EVE,DEF,4.0
Nkounkou,EVE,DEF,4.0
Tarkowski,EVE,DEF,4.5
Vinagre,EVE,DEF,4.5
McNeil,EVE,MID,5.5
Leno,FUL,GKP,4.5
Cairney,FUL,MID,5.0
Ream,FUL,DEF,4.5
Knockaert,FUL,MID,5.0
Chalobah,FUL,MID,4.5
Kebano,FUL,MID,5.5
De Cordova-Reid,FUL,MID,5.5
Bryan,FUL,DEF,4.5
Gazzaniga,FUL,GKP,4.0
Kongolo,FUL,DEF,4.0
Tosin,FUL,DEF,4.5
Mitrović,FUL,FWD,6.5
Reed,FUL,MID,4.5
Wilson,FUL,MID,6.0
Rodák,FUL,GKP,4.5
Cavaleiro,FUL,MID,5.0
Tete,FUL,DEF,4.5
Onomah,FUL,MID,4.5
Robinson,FUL,DEF,4.5
Muniz,FUL,FWD,5.5
Stansfield,FUL,FWD,4.5
Palhinha,FUL,MID,5.0
Andreas,FUL,MID,4.5
Francois,FUL,MID,4.5
Mbabu,FUL,DEF,4.5
Harris,FUL,MID,4.5
Schmeichel,LEI,GKP,5.0
Evans,LEI,DEF,4.5
Bertrand,LEI,DEF,4.0
Albrighton,LEI,MID,5.0
Mendy,LEI,MID,4.5
Vestergaard,LEI,DEF,4.0
Ward,LEI,GKP,4.0
Vardy,LEI,FWD,9.5
Ricardo,LEI,DEF,4.5
Amartey,LEI,DEF,4.5
