Name,Team,Fixture,eGoals/90,Anytime%
De Bruyne,MCI,(H): CRY,0.56,43%
Salah,LIV,(H): BOU,0.54,42%
Luis Díaz,LIV,(H): BOU,0.45,36%
Alexander-Arnold,LIV,(H): BOU,0.38,31%
Carvalho,LIV,(H): BOU,0.36,30%
Haaland,MCI,(H): CRY,0.34,29%
Mahrez,MCI,(H): CRY,0.34,29%
Foden,MCI,(H): CRY,0.33,28%
Firmino,LIV,(H): BOU,0.33,28%
Groß,BHA,(H): LEE,0.33,28%
Saka,ARS,(H): FUL,0.33,28%
Álvarez,MCI,(H): CRY,0.32,28%
Kulusevski,TOT,(A): NFO,0.32,27%
Grealish,MCI,(H): CRY,0.31,27%
Son,TOT,(A): NFO,0.31,27%
Mount,CHE,(H): LEI,0.30,26%
Smith Rowe,ARS,(H): FUL,0.29,26%
Bernardo,MCI,(H): CRY,0.29,25%
Richarlison,TOT,(A): NFO,0.29,25%
Milner,LIV,(H): BOU,0.29,25%
Toney,BRE,(H): EVE,0.28,24%
Robertson,LIV,(H): BOU,0.28,24%
Perišić,TOT,(A): NFO,0.28,24%
Tsimikas,LIV,(H): BOU,0.27,24%
Saint-Maximin,NEW,(A): WOL,0.26,23%
Kane,TOT,(A): NFO,0.26,23%
Mbeumo,BRE,(H): EVE,0.26,23%
Elliott,LIV,(H): BOU,0.26,23%
Nketiah,ARS,(H): FUL,0.25,22%
Sterling,CHE,(H): LEI,0.25,22%
Damsgaard,BRE,(H): EVE,0.24,22%
Martinelli,ARS,(H): FUL,0.24,22%
Rashford,MUN,(A): SOU,0.24,22%
Sancho,MUN,(A): SOU,0.24,22%
Jesus,ARS,(H): FUL,0.24,21%
Welbeck,BHA,(H): LEE,0.24,21%
Elanga,MUN,(A): SOU,0.23,21%
Undav,BHA,(H): LEE,0.23,21%
Pulisic,CHE,(H): LEI,0.23,21%
Xhaka,ARS,(H): FUL,0.23,20%
Wissa,BRE,(H): EVE,0.23,20%
Michy Batshuayi,CHE,(H): LEI,0.23,20%
Bailey,AVL,(H): WHU,0.23,20%
Ødegaard,ARS,(H): FUL,0.22,20%
Neto,WOL,(H): NEW,0.22,20%
Buendía,AVL,(H): WHU,0.22,20%
Henderson,LIV,(H): BOU,0.22,20%
Trossard,BHA,(H): LEE,0.21,19%
Havertz,CHE,(H): LEI,0.21,19%
Keita,LIV,(H): BOU,0.21,19%
Harrison,LEE,(A): BHA,0.21,19%
Mwepu,BHA,(H): LEE,0.21,19%
Bowen,WHU,(A): AVL,0.21,19%
Watkins,AVL,(H): WHU,0.20,18%
Fernandes,MUN,(A): SOU,0.20,18%
Fraser,NEW,(A): WOL,0.20,18%
Jones,LIV,(H): BOU,0.20,18%
Doherty,TOT,(A): NFO,0.20,18%
Coutinho,AVL,(H): WHU,0.20,18%
Ings,AVL,(H): WHU,0.20,18%
Jensen,BRE,(H): EVE,0.20,18%
James,CHE,(H): LEI,0.20,18%
Lallana,BHA,(H): LEE,0.19,18%
Guedes,WOL,(H): NEW,0.19,18%
Rodrigo,LEE,(A): BHA,0.19,17%
Ronaldo,MUN,(A): SOU,0.19,17%
Martial,MUN,(A): SOU,0.19,17%
Gabriel,ARS,(H): FUL,0.18,17%
Podence,WOL,(H): NEW,0.18,17%
Maddison,LEI,(A): CHE,0.18,17%
Murphy,NEW,(A): WOL,0.18,17%
Benrahma,WHU,(A): AVL,0.18,17%
Sinisterra,LEE,(A): BHA,0.18,17%
Ward-Prowse,SOU,(H): MUN,0.18,16%
Hwang,WOL,(H): NEW,0.18,16%
March,BHA,(H): LEE,0.17,16%
Barnes,LEI,(A): CHE,0.17,16%
Kenedy,CHE,(H): LEI,0.17,16%
Gray,EVE,(A): BRE,0.17,16%
Zinchenko,ARS,(H): FUL,0.17,16%
Gündogan,MCI,(H): CRY,0.17,16%
R.Sessegnon,TOT,(A): NFO,0.17,16%
Tierney,ARS,(H): FUL,0.17,16%
Antonio,WHU,(A): AVL,0.17,16%
Lamptey,BHA,(H): LEE,0.17,15%
Sergio Gómez,MCI,(H): CRY,0.17,15%
Emerson Royal,TOT,(A): NFO,0.16,15%
Eriksen,MUN,(A): SOU,0.16,15%
Archer,AVL,(H): WHU,0.16,15%
Gordon,EVE,(A): BRE,0.16,15%
Redmond,SOU,(H): MUN,0.16,15%
A.Armstrong,SOU,(H): MUN,0.16,15%
Mara,SOU,(H): MUN,0.16,15%
Adama,WOL,(H): NEW,0.16,15%
Rodri,MCI,(H): CRY,0.16,14%
S.Armstrong,SOU,(H): MUN,0.16,14%
Adams,SOU,(H): MUN,0.16,14%
Chilwell,CHE,(H): LEI,0.15,14%
Fornals,WHU,(A): AVL,0.15,14%
Aribo,SOU,(H): MUN,0.15,14%
Gelhardt,LEE,(A): BHA,0.15,14%
Elneny,ARS,(H): FUL,0.15,14%
Gibbs-White,NFO,(H): TOT,0.15,14%
Almirón,NEW,(A): WOL,0.15,14%
James,LEE,(A): BHA,0.15,14%
McNeil,EVE,(A): BRE,0.15,14%
Pérez,LEI,(A): CHE,0.15,14%
Scamacca,WHU,(A): AVL,0.15,14%
Dasilva,BRE,(H): EVE,0.14,13%
Cancelo,MCI,(H): CRY,0.14,13%
Elyounoussi,SOU,(H): MUN,0.14,13%
Kovacic,CHE,(H): LEI,0.14,13%
Cornet,WHU,(A): AVL,0.14,13%
Jiménez,WOL,(H): NEW,0.14,13%
Lingard,NFO,(H): TOT,0.14,13%
Greenwood,LEE,(A): BHA,0.14,13%
Fred,MUN,(A): SOU,0.14,13%
Rondón,EVE,(A): BRE,0.14,13%
Albrighton,LEI,(A): CHE,0.14,13%
Bentancur,TOT,(A): NFO,0.14,13%
Iheanacho,LEI,(A): CHE,0.14,13%
Bissouma,TOT,(A): NFO,0.14,13%
Lanzini,WHU,(A): AVL,0.14,13%
Gallagher,CHE,(H): LEI,0.14,13%
Shaw,MUN,(A): SOU,0.14,13%
Fabinho,LIV,(H): BOU,0.13,13%
