Name,Team,Fixture,eAssists/90,Anytime%,,
Kulusevski,TOT,(H): FUL,0.39,33%,,
Salah,LIV,(A): EVE,0.38,32%,,
Son,TOT,(H): FUL,0.38,31%,,
De Bruyne,MCI,(A): AVL,0.34,29%,,
Mount,CHE,(H): WHU,0.34,29%,,
Luis Díaz,LIV,(A): EVE,0.33,28%,,
Richarlison,TOT,(H): FUL,0.32,27%,,
Kane,TOT,(H): FUL,0.31,27%,,
Ziyech,CHE,(H): WHU,0.31,26%,,
James,CHE,(H): WHU,0.30,26%,,
Perišić,TOT,(H): FUL,0.30,26%,,
Alexander-Arnold,LIV,(A): EVE,0.29,25%,,
Elliott,LIV,(A): EVE,0.29,25%,,
Carvalho,LIV,(A): EVE,0.28,25%,,
Diogo Jota,LIV,(A): EVE,0.28,24%,,
Mahrez,MCI,(A): AVL,0.28,24%,,
Foden,MCI,(A): AVL,0.27,24%,,
Haaland,MCI,(A): AVL,0.27,24%,,
Álvarez,MCI,(A): AVL,0.27,23%,,
Darwin,LIV,(A): EVE,0.26,23%,,
Fraser,NEW,(H): CRY,0.26,23%,,
Firmino,LIV,(A): EVE,0.26,23%,,
Neto,WOL,(H): SOU,0.26,23%,,
Pulisic,CHE,(H): WHU,0.26,23%,,
Maddison,LEI,(A): BHA,0.25,22%,,
Hudson-Odoi,CHE,(H): WHU,0.24,22%,,
Mbeumo,BRE,(H): LEE,0.24,22%,,
Barnes,LEI,(A): BHA,0.23,21%,,
Emerson Royal,TOT,(H): FUL,0.23,21%,,
Sterling,CHE,(H): WHU,0.23,21%,,
Grealish,MCI,(A): AVL,0.23,21%,,
Havertz,CHE,(H): WHU,0.23,21%,,
Podence,WOL,(H): SOU,0.23,21%,,
Stanislas,BOU,(A): NFO,0.23,20%,,
Hwang,WOL,(H): SOU,0.22,20%,,
Fernandes,MUN,(H): ARS,0.22,19%,,
Doherty,TOT,(H): FUL,0.22,19%,,
Welbeck,BHA,(H): LEI,0.21,19%,,
Saka,ARS,(A): MUN,0.21,19%,,
Murphy,NEW,(H): CRY,0.21,19%,,
Broja,CHE,(H): WHU,0.21,19%,,
Saint-Maximin,NEW,(H): CRY,0.21,19%,,
Gibbs-White,WOL,(H): SOU,0.21,19%,,
Enciso,BHA,(H): LEI,0.20,18%,,
Robertson,LIV,(A): EVE,0.20,18%,,
Canós,BRE,(H): LEE,0.20,18%,,
Bajcetic,LIV,(A): EVE,0.20,18%,,
Harrison,LEE,(A): BRE,0.20,18%,,
Adama,WOL,(H): SOU,0.20,18%,,
Eriksen,MUN,(H): ARS,0.20,18%,,
Bentancur,TOT,(H): FUL,0.20,18%,,
Lingard,NFO,(H): BOU,0.20,18%,,
Eze,CRY,(A): NEW,0.19,18%,,
Bernardo,MCI,(A): AVL,0.19,18%,,
Groß,BHA,(H): LEI,0.19,17%,,
Undav,BHA,(H): LEI,0.19,17%,,
Maupay,BHA,(H): LEI,0.19,17%,,
Toney,BRE,(H): LEE,0.19,17%,,
Chilwell,CHE,(H): WHU,0.19,17%,,
Johnson,NFO,(H): BOU,0.19,17%,,
Mwepu,BHA,(H): LEI,0.19,17%,,
Almirón,NEW,(H): CRY,0.19,17%,,
Sancho,MUN,(H): ARS,0.19,17%,,
Sinisterra,LEE,(A): BRE,0.19,17%,,
Christie,BOU,(A): NFO,0.18,17%,,
Olise,CRY,(A): NEW,0.18,17%,,
Anthony,BOU,(A): NFO,0.18,17%,,
Lewis-Potter,BRE,(H): LEE,0.18,17%,,
