Name,Team,Fixture,eAssists/90,Anytime%
Salah,LIV,(H): BOU,0.89,59%
Haaland,MCI,(H): CRY,0.84,57%
Kane,TOT,(A): NFO,0.69,50%
Luis Díaz,LIV,(H): BOU,0.62,46%
Firmino,LIV,(H): BOU,0.62,46%
Ronaldo,MUN,(A): SOU,0.60,45%
Carvalho,LIV,(H): BOU,0.50,39%
Jesus,ARS,(H): FUL,0.50,39%
Toney,BRE,(H): EVE,0.50,39%
Nketiah,ARS,(H): FUL,0.47,38%
Ings,AVL,(H): WHU,0.46,37%
Smith Rowe,ARS,(H): FUL,0.46,37%
Álvarez,MCI,(H): CRY,0.46,37%
Saka,ARS,(H): FUL,0.46,37%
Son,TOT,(A): NFO,0.45,36%
Michy Batshuayi,CHE,(H): LEI,0.44,36%
Martinelli,ARS,(H): FUL,0.44,36%
De Bruyne,MCI,(H): CRY,0.44,36%
Wilson,NEW,(A): WOL,0.44,35%
Mahrez,MCI,(H): CRY,0.43,35%
Rodrigo,LEE,(A): BHA,0.42,34%
Undav,BHA,(H): LEE,0.41,34%
Milner,LIV,(H): BOU,0.40,33%
Welbeck,BHA,(H): LEE,0.39,32%
Havertz,CHE,(H): LEI,0.38,32%
Richarlison,TOT,(A): NFO,0.38,31%
Wood,NEW,(A): WOL,0.37,31%
Martial,MUN,(A): SOU,0.37,31%
Jiménez,WOL,(H): NEW,0.37,31%
Archer,AVL,(H): WHU,0.36,30%
Sterling,CHE,(H): LEI,0.36,30%
Watkins,AVL,(H): WHU,0.34,29%
Scamacca,WHU,(A): AVL,0.33,28%
Foden,MCI,(H): CRY,0.33,28%
Groß,BHA,(H): LEE,0.32,28%
Mitrović,FUL,(A): ARS,0.32,27%
Gündogan,MCI,(H): CRY,0.32,27%
Vardy,LEI,(A): CHE,0.31,27%
Mount,CHE,(H): LEI,0.31,27%
Rondón,EVE,(A): BRE,0.30,26%
Damsgaard,BRE,(H): EVE,0.29,25%
Grealish,MCI,(H): CRY,0.29,25%
Pulisic,CHE,(H): LEI,0.28,25%
Antonio,WHU,(A): AVL,0.28,24%
Mara,SOU,(H): MUN,0.28,24%
Mbeumo,BRE,(H): EVE,0.27,24%
Sancho,MUN,(A): SOU,0.27,24%
Awoniyi,NFO,(H): TOT,0.27,24%
Rashford,MUN,(A): SOU,0.27,23%
A.Armstrong,SOU,(H): MUN,0.27,23%
Adams,SOU,(H): MUN,0.27,23%
Gray,EVE,(A): BRE,0.26,23%
Fernandes,MUN,(A): SOU,0.26,23%
Wissa,BRE,(H): EVE,0.25,22%
Coutinho,AVL,(H): WHU,0.25,22%
Guedes,WOL,(H): NEW,0.25,22%
Bowen,WHU,(A): AVL,0.25,22%
Bernardo,MCI,(H): CRY,0.24,22%
Greenwood,LEE,(A): BHA,0.24,21%
Solanke,BOU,(A): LIV,0.24,21%
Gordon,EVE,(A): BRE,0.24,21%
Trossard,BHA,(H): LEE,0.24,21%
Ødegaard,ARS,(H): FUL,0.23,21%
Elliott,LIV,(H): BOU,0.23,21%
Johnson,NFO,(H): TOT,0.23,20%
Keita,LIV,(H): BOU,0.22,20%
Gelhardt,LEE,(A): BHA,0.22,20%
Moore,BOU,(A): LIV,0.21,19%
Buendía,AVL,(H): WHU,0.21,19%
Almirón,NEW,(A): WOL,0.21,19%
Bailey,AVL,(H): WHU,0.21,19%
Hwang,WOL,(H): NEW,0.21,19%
Kulusevski,TOT,(A): NFO,0.21,19%
Iheanacho,LEI,(A): CHE,0.21,19%
Zaha,CRY,(A): MCI,0.21,19%
Elanga,MUN,(A): SOU,0.21,19%
Benrahma,WHU,(A): AVL,0.20,18%
Dennis,NFO,(H): TOT,0.20,18%
Ward-Prowse,SOU,(H): MUN,0.19,18%
Maddison,LEI,(A): CHE,0.19,17%
Podence,WOL,(H): NEW,0.19,17%
Mac Allister,BHA,(H): LEE,0.19,17%
Mateta,CRY,(A): MCI,0.19,17%
Cornet,WHU,(A): AVL,0.19,17%
Daka,LEI,(A): CHE,0.18,17%
Jorginho,CHE,(H): LEI,0.18,17%
Lanzini,WHU,(A): AVL,0.18,17%
Harrison,LEE,(A): BHA,0.18,16%
Saint-Maximin,NEW,(A): WOL,0.18,16%
Fraser,NEW,(A): WOL,0.17,16%
Murphy,NEW,(A): WOL,0.17,16%
S.Armstrong,SOU,(H): MUN,0.17,16%
Jones,LIV,(H): BOU,0.17,15%
Aribo,SOU,(H): MUN,0.17,15%
Neves,WOL,(H): NEW,0.17,15%
Barnes,LEI,(A): CHE,0.17,15%
Sinisterra,LEE,(A): BHA,0.17,15%
Elyounoussi,SOU,(H): MUN,0.16,15%
Neto,WOL,(H): NEW,0.16,15%
Aaronson,LEE,(A): BHA,0.16,15%
Lallana,BHA,(H): LEE,0.16,14%
Fabinho,LIV,(H): BOU,0.16,14%
James,CHE,(H): LEI,0.15,14%
Edouard,CRY,(A): MCI,0.15,14%
Rodri,MCI,(H): CRY,0.15,14%
Fornals,WHU,(A): AVL,0.14,13%
Redmond,SOU,(H): MUN,0.14,13%
Adama,WOL,(H): NEW,0.14,13%
Mwepu,BHA,(H): LEE,0.14,13%
Xhaka,ARS,(H): FUL,0.14,13%
Anderson,NEW,(A): WOL,0.14,13%
Dembélé,BOU,(A): LIV,0.14,13%
Gallagher,CHE,(H): LEI,0.14,13%
Dasilva,BRE,(H): EVE,0.14,13%
Alexander-Arnold,LIV,(H): BOU,0.14,13%
Gibbs-White,NFO,(H): TOT,0.13,13%
Pérez,LEI,(A): CHE,0.13,12%
Bruno Guimarães,NEW,(A): WOL,0.13,12%
Lingard,NFO,(H): TOT,0.13,12%
Mee,BRE,(H): EVE,0.13,12%
Praet,LEI,(A): CHE,0.13,12%
McNeil,EVE,(A): BRE,0.12,12%
Klich,LEE,(A): BHA,0.12,12%
Stansfield,FUL,(A): ARS,0.12,11%
Doherty,TOT,(A): NFO,0.12,11%
Jensen,BRE,(H): EVE,0.12,11%
Chilwell,CHE,(H): LEI,0.12,11%
James,LEE,(A): BHA,0.12,11%
Henderson,LIV,(H): BOU,0.12,11%
Janelt,BRE,(H): EVE,0.11,11%
Kebano,FUL,(A): ARS,0.11,11%
De Cordova-Reid,FUL,(A): ARS,0.11,11%
Soucek,WHU,(A): AVL,0.11,11%
Dendoncker,WOL,(H): NEW,0.11,11%
Eriksen,MUN,(A): SOU,0.11,11%
Nørgaard,BRE,(H): EVE,0.11,10%
Ebiowei,CRY,(A): MCI,0.10,10%
Aké,MCI,(H): CRY,0.10,10%
Bissouma,TOT,(A): NFO,0.10,10%
Onomah,FUL,(A): ARS,0.10,10%
Fred,MUN,(A): SOU,0.10,10%
R.Sessegnon,TOT,(A): NFO,0.10,10%
Olise,CRY,(A): MCI,0.10,9%
Andreas,FUL,(A): ARS,0.10,9%
Ramsey,AVL,(H): WHU,0.10,9%
Partey,ARS,(H): FUL,0.10,9%
Ayew,CRY,(A): MCI,0.09,9%
Albrighton,LEI,(A): CHE,0.09,9%
Gabriel,ARS,(H): FUL,0.09,9%
Anthony,BOU,(A): LIV,0.09,9%
Willock,NEW,(A): WOL,0.09,9%
Robertson,LIV,(H): BOU,0.09,9%
Højbjerg,TOT,(A): NFO,0.09,9%
Kenedy,CHE,(H): LEI,0.09,8%
Schär,NEW,(A): WOL,0.09,8%
Kovacic,CHE,(H): LEI,0.09,8%
Van Dijk,LIV,(H): BOU,0.09,8%
Billing,BOU,(A): LIV,0.09,8%
Sánchez,TOT,(A): NFO,0.09,8%
Webster,BHA,(H): LEE,0.08,8%
Perišić,TOT,(A): NFO,0.08,8%
Onyeka,BRE,(H): EVE,0.08,8%
Joelinton,NEW,(A): WOL,0.08,8%
Emerson Royal,TOT,(A): NFO,0.08,8%
Toffolo,NFO,(H): TOT,0.08,8%
Douglas Luiz,AVL,(H): WHU,0.08,8%
Dunk,BHA,(H): LEE,0.08,8%
Gomez,LIV,(H): BOU,0.08,8%
Moutinho,WOL,(H): NEW,0.08,8%
Onana,EVE,(A): BRE,0.08,8%
Lamptey,BHA,(H): LEE,0.08,8%
Walker-Peters,SOU,(H): MUN,0.08,8%
Rice,WHU,(A): AVL,0.08,8%
Cairney,FUL,(A): ARS,0.08,8%
Saliba,ARS,(H): FUL,0.08,7%
Eze,CRY,(A): MCI,0.08,7%
Tsimikas,LIV,(H): BOU,0.08,7%
Ritchie,NEW,(A): WOL,0.08,7%
Yates,NFO,(H): TOT,0.08,7%
Christie,BOU,(A): LIV,0.08,7%
March,BHA,(H): LEE,0.08,7%
Matheus,WOL,(H): NEW,0.08,7%
Phillips,LIV,(H): BOU,0.07,7%
Chalobah,CHE,(H): LEI,0.07,7%
Tielemans,LEI,(A): CHE,0.07,7%
Collins,WOL,(H): NEW,0.07,7%
Dias,MCI,(H): CRY,0.07,7%
Romeu,SOU,(H): MUN,0.07,7%
Casemiro,MUN,(A): SOU,0.07,7%
Elneny,ARS,(H): FUL,0.07,7%
Davies,EVE,(A): BRE,0.07,7%
Dewsbury-Hall,LEI,(A): CHE,0.07,7%
S.Longstaff,NEW,(A): WOL,0.07,7%
Stones,MCI,(H): CRY,0.07,7%
Azpilicueta,CHE,(H): LEI,0.07,7%
Keane,EVE,(A): BRE,0.07,7%
McTominay,MUN,(A): SOU,0.07,6%
Bednarek,SOU,(H): MUN,0.07,6%
N.Williams,NFO,(H): TOT,0.07,6%
Tavernier,BOU,(A): LIV,0.07,6%
Caicedo,BHA,(H): LEE,0.06,6%
Loftus-Cheek,CHE,(H): LEI,0.06,6%
Palhinha,FUL,(A): ARS,0.06,6%
Lavia,SOU,(H): MUN,0.06,6%
Dier,TOT,(A): NFO,0.06,6%
Dawson,WHU,(A): AVL,0.06,6%
Henry,BRE,(H): EVE,0.06,6%
Holgate,EVE,(A): BRE,0.06,6%
Mykolenko,EVE,(A): BRE,0.06,6%
Jonny,WOL,(H): NEW,0.06,6%
Zanka,BRE,(H): EVE,0.06,6%
Forshaw,LEE,(A): BHA,0.06,6%
Hickey,BRE,(H): EVE,0.06,6%
Colwill,BHA,(H): LEE,0.06,6%
Sergio Gómez,MCI,(H): CRY,0.06,6%
Milivojevic,CRY,(A): MCI,0.06,5%
Allan,EVE,(A): BRE,0.06,5%
Varane,MUN,(A): SOU,0.06,5%
Diallo,SOU,(H): MUN,0.06,5%
Thiago Silva,CHE,(H): LEI,0.06,5%
Iwobi,EVE,(A): BRE,0.06,5%
Llorente,LEE,(A): BHA,0.05,5%
McGinn,AVL,(H): WHU,0.05,5%
Konsa,AVL,(H): WHU,0.05,5%
Roca,LEE,(A): BHA,0.05,5%
Martínez,MUN,(A): SOU,0.05,5%
Tierney,ARS,(H): FUL,0.05,5%
Maguire,MUN,(A): SOU,0.05,5%
Lenglet,TOT,(A): NFO,0.05,5%
Chambers,AVL,(H): WHU,0.05,5%
Davies,TOT,(A): NFO,0.05,5%
Lerma,BOU,(A): LIV,0.05,5%
Jansson,BRE,(H): EVE,0.05,5%
Bech,BRE,(H): EVE,0.05,5%
Cancelo,MCI,(H): CRY,0.05,5%
Biancone,NFO,(H): TOT,0.05,4%
Coady,EVE,(A): BRE,0.05,4%
Djenepo,SOU,(H): MUN,0.04,4%
Bentancur,TOT,(A): NFO,0.04,4%
Patterson,EVE,(A): BRE,0.04,4%
Mendy,LEI,(A): CHE,0.04,4%
Estupiñán,BHA,(H): LEE,0.04,4%
Digne,AVL,(H): WHU,0.04,4%
Coleman,EVE,(A): BRE,0.04,4%
Roerslev,BRE,(H): EVE,0.04,4%
Mangala,NFO,(H): TOT,0.04,4%
Cucurella,CHE,(H): LEI,0.04,4%
Tomiyasu,ARS,(H): FUL,0.04,4%
Botman,NEW,(A): WOL,0.04,4%
Aït-Nouri,WOL,(H): NEW,0.04,4%
Schlupp,CRY,(A): MCI,0.04,4%
Trippier,NEW,(A): WOL,0.04,4%
O'Brien,NFO,(H): TOT,0.04,4%
Zouma,WHU,(A): AVL,0.04,4%
Kilman,WOL,(H): NEW,0.04,4%
Freuler,NFO,(H): TOT,0.04,4%
Kamara,AVL,(H): WHU,0.04,4%
Perraud,SOU,(H): MUN,0.04,4%
Bella-Kotchap,SOU,(H): MUN,0.04,4%
Burn,NEW,(A): WOL,0.04,4%
Stephens,SOU,(H): MUN,0.04,4%
Kehrer,WHU,(A): AVL,0.04,4%
Mings,AVL,(H): WHU,0.04,3%
Ndidi,LEI,(A): CHE,0.03,3%
Boly,WOL,(H): NEW,0.03,3%
Söyüncü,LEI,(A): CHE,0.03,3%
Cresswell,WHU,(A): AVL,0.03,3%
Pearson,BOU,(A): LIV,0.03,3%
Castagne,LEI,(A): CHE,0.03,3%
Cash,AVL,(H): WHU,0.03,3%
Duffy,FUL,(A): ARS,0.03,3%
Tarkowski,EVE,(A): BRE,0.03,3%
Veltman,BHA,(H): LEE,0.03,3%
Hughes,CRY,(A): MCI,0.03,3%
Chalobah,FUL,(A): ARS,0.03,3%
Thomas,LEI,(A): CHE,0.03,3%
Malacia,MUN,(A): SOU,0.03,3%
Zinchenko,ARS,(H): FUL,0.03,3%
Semedo,WOL,(H): NEW,0.03,3%
Cook,BOU,(A): LIV,0.03,3%
Cooper,LEE,(A): BHA,0.03,3%
Shaw,MUN,(A): SOU,0.03,3%
Dalot,MUN,(A): SOU,0.03,3%
Kouyaté,NFO,(H): TOT,0.03,3%
