Name,Team,Fixture,eGoals/90,Anytime%,,
Kane,TOT,(H): FUL,0.75,53%,,
Haaland,MCI,(A): AVL,0.69,50%,,
Salah,LIV,(A): EVE,0.63,47%,,
Darwin,LIV,(A): EVE,0.55,43%,,
Son,TOT,(H): FUL,0.55,42%,,
Wilson,NEW,(H): CRY,0.51,40%,,
Havertz,CHE,(H): WHU,0.50,39%,,
Toney,BRE,(H): LEE,0.47,38%,,
Firmino,LIV,(A): EVE,0.47,37%,,
Diogo Jota,LIV,(A): EVE,0.47,37%,,
Jiménez,WOL,(H): SOU,0.46,37%,,
Ronaldo,MUN,(H): ARS,0.46,37%,,
Broja,CHE,(H): WHU,0.45,36%,,
Richarlison,TOT,(H): FUL,0.44,36%,,
Wood,NEW,(H): CRY,0.43,35%,,
Vardy,LEI,(A): BHA,0.43,35%,,
Bamford,LEE,(A): BRE,0.40,33%,,
Solanke,BOU,(A): NFO,0.40,33%,,
Álvarez,MCI,(A): AVL,0.40,33%,,
Sterling,CHE,(H): WHU,0.38,31%,,
Mount,CHE,(H): WHU,0.37,31%,,
Awoniyi,NFO,(H): BOU,0.37,31%,,
Undav,BHA,(H): LEI,0.37,31%,,
Luis Díaz,LIV,(A): EVE,0.35,30%,,
Welbeck,BHA,(H): LEI,0.35,30%,,
Mahrez,MCI,(A): AVL,0.34,29%,,
Taylor,NFO,(H): BOU,0.34,29%,,
Ziyech,CHE,(H): WHU,0.34,29%,,
Mitrović,FUL,(A): TOT,0.33,28%,,
Nketiah,ARS,(A): MUN,0.33,28%,,
Maupay,BHA,(H): LEI,0.33,28%,,
Stanislas,BOU,(A): NFO,0.33,28%,,
De Bruyne,MCI,(A): AVL,0.32,28%,,
Pulisic,CHE,(H): WHU,0.32,27%,,
Johnson,NFO,(H): BOU,0.32,27%,,
Carvalho,LIV,(A): EVE,0.31,27%,,
Surridge,NFO,(H): BOU,0.31,27%,,
Saka,ARS,(A): MUN,0.31,27%,,
Jesus,ARS,(A): MUN,0.31,27%,,
Mateta,CRY,(A): NEW,0.31,27%,,
Martinelli,ARS,(A): MUN,0.29,26%,,
Elliott,LIV,(A): EVE,0.29,25%,,
Iheanacho,LEI,(A): BHA,0.29,25%,,
Moore,BOU,(A): NFO,0.28,25%,,
Zaha,CRY,(A): NEW,0.28,25%,,
Wissa,BRE,(H): LEE,0.28,24%,,
Daka,LEI,(A): BHA,0.28,24%,,
Gibbs-White,WOL,(H): SOU,0.28,24%,,
Hwang,WOL,(H): SOU,0.28,24%,,
Kulusevski,TOT,(H): FUL,0.28,24%,,
Martial,MUN,(H): ARS,0.28,24%,,
Edouard,CRY,(A): NEW,0.27,24%,,
A.Armstrong,SOU,(A): WOL,0.27,24%,,
Ings,AVL,(H): MCI,0.27,23%,,
Lowe,BOU,(A): NFO,0.27,23%,,
Milner,LIV,(A): EVE,0.26,23%,,
Fernandes,MUN,(H): ARS,0.26,23%,,
Adams,SOU,(A): WOL,0.26,23%,,
Smith Rowe,ARS,(A): MUN,0.25,22%,,
Podence,WOL,(H): SOU,0.25,22%,,
Maddison,LEI,(A): BHA,0.25,22%,,
Enciso,BHA,(H): LEI,0.24,22%,,
Foden,MCI,(A): AVL,0.24,22%,,
Groß,BHA,(H): LEI,0.24,21%,,
Gelhardt,LEE,(A): BRE,0.23,21%,,
Barnes,LEI,(A): BHA,0.23,21%,,
Watkins,AVL,(H): MCI,0.23,21%,,
Muniz,FUL,(A): TOT,0.23,20%,,
Fraser,NEW,(H): CRY,0.23,20%,,
Antonio,WHU,(A): CHE,0.23,20%,,
Archer,AVL,(H): MCI,0.23,20%,,
Neves,WOL,(H): SOU,0.22,20%,,
Mbeumo,BRE,(H): LEE,0.22,20%,,
Dembélé,BOU,(A): NFO,0.22,20%,,
Lewis-Potter,BRE,(H): LEE,0.22,20%,,
Scamacca,WHU,(A): CHE,0.22,20%,,
Jorginho,CHE,(H): WHU,0.21,19%,,
Neto,WOL,(H): SOU,0.21,19%,,
Aribo,SOU,(A): WOL,0.21,19%,,
Rondón,EVE,(H): LIV,0.21,19%,,
Canós,BRE,(H): LEE,0.21,19%,,
Grealish,MCI,(A): AVL,0.21,19%,,
Rodrigo,LEE,(A): BRE,0.20,19%,,
Almirón,NEW,(H): CRY,0.20,18%,,
Dele,EVE,(H): LIV,0.20,18%,,
Saint-Maximin,NEW,(H): CRY,0.20,18%,,
Bowen,WHU,(A): CHE,0.20,18%,,
Gündogan,MCI,(A): AVL,0.20,18%,,
Harrison,LEE,(A): BRE,0.20,18%,,
Gray,EVE,(H): LIV,0.19,18%,,
Ward-Prowse,SOU,(A): WOL,0.19,18%,,
Adama,WOL,(H): SOU,0.19,17%,,
Murphy,NEW,(H): CRY,0.19,17%,,
Trossard,BHA,(H): LEI,0.19,17%,,
Eze,CRY,(A): NEW,0.19,17%,,
Eriksen,MUN,(H): ARS,0.18,17%,,
Lingard,NFO,(H): BOU,0.18,17%,,
Ayew,CRY,(A): NEW,0.18,17%,,
Ebiowei,CRY,(A): NEW,0.18,17%,,
Benrahma,WHU,(A): CHE,0.18,16%,,
Sancho,MUN,(H): ARS,0.18,16%,,
Bajcetic,LIV,(A): EVE,0.18,16%,,
Hudson-Odoi,CHE,(H): WHU,0.18,16%,,
Elanga,MUN,(H): ARS,0.18,16%,,
Praet,LEI,(A): BHA,0.17,16%,,
Fábio Vieira,ARS,(A): MUN,0.17,16%,,
Sinisterra,LEE,(A): BRE,0.17,16%,,
Bruno Guimarães,NEW,(H): CRY,0.17,16%,,
Aaronson,LEE,(A): BRE,0.17,15%,,
Anthony,BOU,(A): NFO,0.17,15%,,
Elyounoussi,SOU,(A): WOL,0.17,15%,,
Pérez,LEI,(A): BHA,0.17,15%,,
James,LEE,(A): BRE,0.16,15%,,
Cornet,WHU,(A): CHE,0.16,15%,,
Rashford,MUN,(H): ARS,0.16,15%,,
Coutinho,AVL,(H): MCI,0.16,15%,,
Gallagher,CHE,(H): WHU,0.15,14%,,
Gordon,EVE,(H): LIV,0.15,14%,,
Olise,CRY,(A): NEW,0.15,14%,,
Billing,BOU,(A): NFO,0.15,14%,,
Keita,LIV,(A): EVE,0.15,14%,,
Vlasic,WHU,(A): CHE,0.15,14%,,
James,CHE,(H): WHU,0.15,14%,,
Mwepu,BHA,(H): LEI,0.14,13%,,
Ødegaard,ARS,(A): MUN,0.14,13%,,
Bernardo,MCI,(A): AVL,0.14,13%,,
Redmond,SOU,(A): WOL,0.14,13%,,
Fabinho,LIV,(A): EVE,0.14,13%,,
Cavaleiro,FUL,(A): TOT,0.14,13%,,
Perišić,TOT,(H): FUL,0.14,13%,,
Bissouma,TOT,(H): FUL,0.14,13%,,
Chilwell,CHE,(H): WHU,0.13,13%,,
Bailey,AVL,(H): MCI,0.13,12%,,
S.Armstrong,SOU,(A): WOL,0.13,12%,,
Doherty,TOT,(H): FUL,0.13,12%,,
Christie,BOU,(A): NFO,0.13,12%,,
Cundle,WOL,(H): SOU,0.13,12%,,
Ghoddos,BRE,(H): LEE,0.13,12%,,
Jones,LIV,(A): EVE,0.13,12%,,
Lanzini,WHU,(A): CHE,0.13,12%,,
Kebano,FUL,(A): TOT,0.13,12%,,
Mac Allister,BHA,(H): LEI,0.13,12%,,
Dendoncker,WOL,(H): SOU,0.12,12%,,
Knockaert,FUL,(A): TOT,0.12,11%,,
Willock,NEW,(H): CRY,0.12,11%,,
Andreas,FUL,(A): TOT,0.12,11%,,
Fornals,WHU,(A): CHE,0.12,11%,,
Albrighton,LEI,(A): BHA,0.11,11%,,
Emerson Royal,TOT,(H): FUL,0.11,11%,,
R.Sessegnon,TOT,(H): FUL,0.11,11%,,
Janelt,BRE,(H): LEE,0.11,10%,,
Thiago,LIV,(A): EVE,0.11,10%,,
Tielemans,LEI,(A): BHA,0.11,10%,,
Alexander-Arnold,LIV,(A): EVE,0.11,10%,,
Rodri,MCI,(A): AVL,0.11,10%,,
Yates,NFO,(H): BOU,0.11,10%,,
Matip,LIV,(A): EVE,0.10,10%,,
Onomah,FUL,(A): TOT,0.10,10%,,
Tella,SOU,(A): WOL,0.10,10%,,
Cafú,NFO,(H): BOU,0.10,10%,,
Moutinho,WOL,(H): SOU,0.10,10%,,
Collins,WOL,(H): SOU,0.10,10%,,
Alzate,BHA,(H): LEI,0.10,9%,,
De Cordova-Reid,FUL,(A): TOT,0.10,9%,,
Tavernier,BOU,(A): NFO,0.10,9%,,
Lallana,BHA,(H): LEI,0.10,9%,,
Dasilva,BRE,(H): LEE,0.10,9%,,
Baptiste,BRE,(H): LEE,0.10,9%,,
Skipp,TOT,(H): FUL,0.10,9%,,
Schär,NEW,(H): CRY,0.09,9%,,
Bruno Jordão,WOL,(H): SOU,0.09,9%,,
Klich,LEE,(A): BRE,0.09,9%,,
Joelinton,NEW,(H): CRY,0.09,9%,,
Sánchez,TOT,(H): FUL,0.09,9%,,
Kovacic,CHE,(H): WHU,0.09,9%,,
Dewsbury-Hall,LEI,(A): BHA,0.09,9%,,
Aké,MCI,(A): AVL,0.09,9%,,
McNeil,EVE,(H): LIV,0.09,9%,,
Jensen,BRE,(H): LEE,0.09,9%,,
Milivojevic,CRY,(A): NEW,0.09,9%,,
Buendía,AVL,(H): MCI,0.09,8%,,
N.Williams,NFO,(H): BOU,0.09,8%,,
Chalobah,CHE,(H): WHU,0.09,8%,,
Schlupp,CRY,(A): NEW,0.08,8%,,
Nørgaard,BRE,(H): LEE,0.08,8%,,
Henderson,LIV,(A): EVE,0.08,8%,,
Mee,BRE,(H): LEE,0.08,8%,,
Lerma,BOU,(A): NFO,0.08,8%,,
Phillips,MCI,(A): AVL,0.08,8%,,
Shelvey,NEW,(H): CRY,0.08,8%,,
Onyeka,BRE,(H): LEE,0.08,8%,,
Højbjerg,TOT,(H): FUL,0.08,8%,,
O'Brien,NFO,(H): BOU,0.08,8%,,
Fred,MUN,(H): ARS,0.08,7%,,
Dier,TOT,(H): FUL,0.08,7%,,
Jonny,WOL,(H): SOU,0.08,7%,,
Kanté,CHE,(H): WHU,0.08,7%,,
Colback,NFO,(H): BOU,0.08,7%,,
Biancone,NFO,(H): BOU,0.08,7%,,
Soucek,WHU,(A): CHE,0.07,7%,,
Webster,BHA,(H): LEI,0.07,7%,,
Azpilicueta,CHE,(H): WHU,0.07,7%,,
S.Longstaff,NEW,(H): CRY,0.07,7%,,
Cairney,FUL,(A): TOT,0.07,7%,,
Loftus-Cheek,CHE,(H): WHU,0.07,7%,,
Iwobi,EVE,(H): LIV,0.07,7%,,
Van Dijk,LIV,(A): EVE,0.07,7%,,
Partey,ARS,(A): MUN,0.07,7%,,
Ramsey,AVL,(H): MCI,0.07,7%,,
Mitoma,BHA,(H): LEI,0.07,7%,,
Caicedo,BHA,(H): LEI,0.07,6%,,
Mangala,NFO,(H): BOU,0.07,6%,,
Xhaka,ARS,(A): MUN,0.07,6%,,
Dunk,BHA,(H): LEI,0.07,6%,,
Soumaré,LEI,(A): BHA,0.07,6%,,
Forshaw,LEE,(A): BRE,0.07,6%,,
Koulibaly,CHE,(H): WHU,0.07,6%,,
Llorente,LEE,(A): BRE,0.06,6%,,
Bentancur,TOT,(H): FUL,0.06,6%,,
Gabriel,ARS,(A): MUN,0.06,6%,,
Thiago Silva,CHE,(H): WHU,0.06,6%,,
Sarr,CHE,(H): WHU,0.06,6%,,
Bednarek,SOU,(A): WOL,0.06,6%,,
Davies,TOT,(H): FUL,0.06,6%,,
Romero,TOT,(H): FUL,0.06,6%,,
Romeu,SOU,(A): WOL,0.06,6%,,
Van de Beek,MUN,(H): ARS,0.06,6%,,
Lenglet,TOT,(H): FUL,0.06,6%,,
Konaté,LIV,(A): EVE,0.06,5%,,
Stones,MCI,(A): AVL,0.06,5%,,
C.Doucouré,CRY,(A): NEW,0.06,5%,,
Garner,MUN,(H): ARS,0.06,5%,,
Pearson,BOU,(A): NFO,0.06,5%,,
Jansson,BRE,(H): LEE,0.06,5%,,
Henry,BRE,(H): LEE,0.06,5%,,
Castagne,LEI,(A): BHA,0.06,5%,,
Aït-Nouri,WOL,(H): SOU,0.06,5%,,
Riedewald,CRY,(A): NEW,0.05,5%,,
Holgate,EVE,(H): LIV,0.05,5%,,
Roca,LEE,(A): BRE,0.05,5%,,
Dias,MCI,(A): AVL,0.05,5%,,
Robertson,LIV,(A): EVE,0.05,5%,,
Lavia,SOU,(A): WOL,0.05,5%,,
Varane,MUN,(H): ARS,0.05,5%,,
Elneny,ARS,(A): MUN,0.05,5%,,
McArthur,CRY,(A): NEW,0.05,5%,,
