Name,Team,avgMins
Cédric,ARS,0
Xhaka,ARS,447
Elneny,ARS,90
Holding,ARS,3
Partey,ARS,270
Ødegaard,ARS,423
Tierney,ARS,172
Pépé,ARS,0
White,ARS,392
Nketiah,ARS,60
Smith Rowe,ARS,31
Saka,ARS,437
Tomiyasu,ARS,57
Ramsdale,ARS,450
Gabriel,ARS,450
Tavares,ARS,0
Sambi,ARS,93
Martinelli,ARS,434
Pablo Marí,ARS,0
Maitland-Niles,ARS,0
Torreira,ARS,0
Nelson,ARS,0
Turner,ARS,0
Fábio Vieira,ARS,0
Saliba,ARS,450
Marquinhos,ARS,0
Jesus,ARS,430
Zinchenko,ARS,248
Smith,ARS,0.0
Coutinho,AVL,239
Ings,AVL,250
Martínez,AVL,450
Chambers,AVL,91
Digne,AVL,450
Traoré,AVL,0
Olsen,AVL,0
Sanson,AVL,0
McGinn,AVL,414
Hause,AVL,0
Mings,AVL,270
Watkins,AVL,384
Nakamba,AVL,0
Buendía,AVL,243
Cash,AVL,450
Konsa,AVL,361
Bailey,AVL,269
Douglas Luiz,AVL,107
Ramsey,AVL,339
Iroegbunam,AVL,0
Diego Carlos,AVL,180
El Ghazi,AVL,0
Davis,AVL,0
Kamara,AVL,433
Archer,AVL,9
Philogene-Bidace,AVL,0
Guilbert,AVL,0
Augustinsson,AVL,0
Kesler Hayden,AVL,0
Young,AVL,1
Smith,BOU,405
Stanislas,BOU,28
Fredericks,BOU,21
Brooks,BOU,0
Lowe,BOU,1
Moore,BOU,372
Marcondes,BOU,8
Lerma,BOU,450
Stacey,BOU,90
Solanke,BOU,225
Cook,BOU,292
Pearson,BOU,210
Christie,BOU,221
Billing,BOU,301
Mepham,BOU,441
Travers,BOU,360
Kelly,BOU,360
Dembélé,BOU,0
Anthony,BOU,139
Zemura,BOU,338
Dennis,BOU,0
Rothwell,BOU,0
Tavernier,BOU,434
Hill,BOU,0
Neto,BOU,22.5
Senesi,BOU,36.25
Saydee,BOU,0.0
Bevan,BOU,4.0
Jansson,BRE,270
Nørgaard,BRE,309
Toney,BRE,450
Raya,BRE,450
Canós,BRE,0
Dasilva,BRE,277
Ajer,BRE,0
Henry,BRE,450
Janelt,BRE,259
Ghoddos,BRE,18
Jensen,BRE,358
Wissa,BRE,261
Roerslev,BRE,90
Bech,BRE,17
Pinnock,BRE,0
Onyeka,BRE,32
Baptiste,BRE,138
Mbeumo,BRE,396
Goode,BRE,0
Forss,BRE,0
Thompson,BRE,0
Bidstrup,BRE,0
Balcombe,BRE,0
Hickey,BRE,389
Lewis-Potter,BRE,150
Strakosha,BRE,0
Mee,BRE,418
Stevens,BRE,0
Dervişoğlu,BRE,6
Damsgaard,BRE,8.5
Zanka,BRE,78.5
Lallana,BHA,201
Steele,BHA,0
Welbeck,BHA,384
Groß,BHA,450
Dunk,BHA,450
March,BHA,407
Webster,BHA,450
Veltman,BHA,402
Trossard,BHA,406
Sánchez,BHA,450
Lamptey,BHA,76
Alzate,BHA,0
Mac Allister,BHA,450
Moder,BHA,0
Mwepu,BHA,126
Sarmiento,BHA,0
Caicedo,BHA,438
Richards,BHA,0
Roberts,BHA,0
Undav,BHA,12
Mitoma,BHA,54
Enciso,BHA,0
Kozłowski,BHA,0
Scherpen,BHA,0
Clarke,BHA,0
Van Hecke,BHA,2
Colwill,BHA,12
Estupiñán,BHA,55.666666666666664
Ferguson,BHA,0.0
Chukwuemeka,CHE,0
Cucurella,CHE,375
Azpilicueta,CHE,221
Thiago Silva,CHE,450
Alonso,CHE,0
Jorginho,CHE,365
Barkley,CHE,0
Kovacic,CHE,60
Arrizabalaga,CHE,0
Kanté,CHE,174
Ziyech,CHE,116
Loftus-Cheek,CHE,340
Werner,CHE,0
Kenedy,CHE,0
Chilwell,CHE,101
Pulisic,CHE,96
Chalobah,CHE,90
Mount,CHE,365
Sarr,CHE,0
Hudson-Odoi,CHE,0
Havertz,CHE,408
James,CHE,360
Mendy,CHE,450
Gallagher,CHE,96
Gilmour,CHE,0
Broja,CHE,40
Ampadu,CHE,0
Fofana,CHE,180
Sterling,CHE,423
Koulibaly,CHE,337
Vale,CHE,0.0
Guaita,CRY,450
Tomkins,CRY,0
McArthur,CRY,0
Benteke,CRY,0
Ward,CRY,360
Clyne,CRY,343
Milivojevic,CRY,48
Ayew,CRY,308
Zaha,CRY,351
Schlupp,CRY,418
Butland,CRY,0
Hughes,CRY,46
Riedewald,CRY,0
Andersen,CRY,450
Edouard,CRY,255
Guéhi,CRY,450
Mateta,CRY,121
Eze,CRY,418
Mitchell,CRY,324
Olise,CRY,117
Rak-Sakyi,CRY,0
Ebiowei,CRY,4
Ferguson,CRY,0
Johnstone,CRY,0
Matthews,CRY,0
Plange,CRY,0
C.Doucouré,CRY,422
Richards,CRY,45
Whitworth,CRY,0.0
Rodney,CRY,0.0
Phillips,CRY,0.0
Maupay,EVE,0
Begović,EVE,0
Rondón,EVE,86
Coleman,EVE,0
Townsend,EVE,0
Keane,EVE,22
Dele,EVE,38
Pickford,EVE,450
Allan,EVE,0
André Gomes,EVE,0
A.Doucouré,EVE,124
Iwobi,EVE,450
Gbamin,EVE,0
Mina,EVE,69
Gray,EVE,440
Davies,EVE,213
Calvert-Lewin,EVE,0
Holgate,EVE,319
Godfrey,EVE,17
Mykolenko,EVE,445
Gordon,EVE,450
Branthwaite,EVE,0
Patterson,EVE,450
Nkounkou,EVE,0
Tarkowski,EVE,450
Coady,EVE,350
Vinagre,EVE,24
McNeil,EVE,331
Mills,EVE,0
Warrington,EVE,0
Onana,EVE,52.5
Welch,EVE,0.0
Leno,FUL,270
Duffy,FUL,2
Cairney,FUL,51
Ream,FUL,447
Knockaert,FUL,0
Chalobah,FUL,3
Kebano,FUL,305
De Cordova-Reid,FUL,450
Bryan,FUL,0
Gazzaniga,FUL,0
Kongolo,FUL,0
Tosin,FUL,450
Mitrović,FUL,450
Reed,FUL,450
Wilson,FUL,0
Rodák,FUL,180
Cavaleiro,FUL,0
Tete,FUL,424
Onomah,FUL,0
Robinson,FUL,450
Muniz,FUL,0
Stansfield,FUL,85
Palhinha,FUL,447
Andreas,FUL,418
Diop,FUL,11
Francois,FUL,1
Mbabu,FUL,25
Harris,FUL,0
Solomon,FUL,24
Ablade,FUL,0.0
Schmeichel,LEI,0
Evans,LEI,360
Bertrand,LEI,0
Albrighton,LEI,0
Mendy,LEI,0
Vestergaard,LEI,0
Ward,LEI,360
Vardy,LEI,313
Ricardo,LEI,0
Amartey,LEI,332
Castagne,LEI,360
Tielemans,LEI,265
Pérez,LEI,99
Maddison,LEI,270
Iheanacho,LEI,69
Choudhury,LEI,0
Barnes,LEI,165
Ndidi,LEI,271
Dewsbury-Hall,LEI,342
Söyüncü,LEI,0
Justin,LEI,360
Soumaré,LEI,54
Thomas,LEI,0
Daka,LEI,69
Brunt,LEI,0
Iversen,LEI,0
Praet,LEI,81
Smithies,LEI,0.0
Cooper,LEE,0
Ayling,LEE,0
Klich,LEE,95
Forshaw,LEE,47
Rodrigo,LEE,357
Dallas,LEE,0
Bamford,LEE,124
Llorente,LEE,450
Roberts,LEE,0
Koch,LEE,450
James,LEE,197
Raphinha,LEE,0
Harrison,LEE,418
Shackleton,LEE,0
Struijk,LEE,450
Klaesson,LEE,0
Greenwood,LEE,24
Meslier,LEE,450
Firpo,LEE,0
Summerville,LEE,5
Bate,LEE,0
Gelhardt,LEE,65
Hjelde,LEE,0
Kristensen,LEE,450
Roca,LEE,368
Aaronson,LEE,412
Gyabi,LEE,0
Adams,LEE,450
Sinisterra,LEE,120
Drameh,LEE,0
Gray,LEE,0
Robles,LEE,0.0
Milner,LIV,205
Henderson,LIV,314
Matip,LIV,90
Thiago,LIV,50
Chamberlain,LIV,0
Firmino,LIV,298
Van Dijk,LIV,450
Alisson,LIV,450
Fabinho,LIV,359
Salah,LIV,450
Robertson,LIV,374
Alexander-Arnold,LIV,422
Gomez,LIV,297
Keita,LIV,0
Diogo Jota,LIV,0
Kelleher,LIV,0
Konaté,LIV,0
Jones,LIV,0
Tsimikas,LIV,72
Luis Díaz,LIV,437
Elliott,LIV,342
Carvalho,LIV,104
Darwin,LIV,95
Ramsay,LIV,0
Adrián,LIV,0
R.Williams,LIV,0
